GENE,n
BRCA2,5186
NF1,4752
BRCA1,3791
ATM,3117
FBN1,2337
APC,2304
MSH6,2009
MSH2,1805
DMD,1715
PKD1,1630
MLH1,1547
SCN1A,1512
USH2A,1364
LDLR,1349
PALB2,1259
TSC2,1177
COL1A1,1105
ABCA4,1065
CFTR,1048
PTEN,979
TP53,925
NEB,872
RB1,846
MYBPC3,814
GLA,808
CHEK2,803
PMS2,768
KMT2D,763
PHEX,714
ALMS1,712
COL4A5,711
COL7A1,705
COL2A1,695
BRIP1,690
DICER1,688
TTN,672
CHD7,645
DNAH5,641
TSC1,640
FANCA,635
PKHD1,623
CEP290,613
VPS13B,608
PTCH1,607
LZTR1,603
DSP,590
EYS,584
DYSF,567
IDS,561
KCNH2,560
RPGR,552
COL3A1,548
MECP2,542
LAMA2,537
ATP7B,534
MYO7A,532
MEN1,520
KCNQ2,516
ENG,512
CDH1,510
NSD1,507
ANKRD11,493
BARD1,492
ADGRV1,489
SPAST,488
PAH,485
SACS,482
MSH3,480
COL1A2,467
EXT1,461
MYO15A,458
BMPR2,436
ARID1B,435
SPG11,430
NIPBL,425
BLM,422
DNAH11,417
ACVRL1,414
GAA,413
RYR1,411
FLNC,407
CDH23,405
F8,398
CDKL5,389
SCN5A,384
RAD50,381
SLC26A4,379
KCNQ1,378
SCN2A,378
GCK,375
LMNA,375
KMT2A,373
FLCN,368
HBB,366
AGL,364
NPC1,361
FH,358
POLE,358
CREBBP,354
JAG1,353
NBN,350
CACNA1A,348
CRB1,348
PCDH19,346
COL4A4,343
PKD2,343
VHL,336
OTC,335
DYNC2H1,333
PAX6,333
CAPN3,329
ABCD1,328
SYNGAP1,321
BAP1,320
ZEB2,320
STK11,316
ALPL,313
RECQL4,313
COL4A3,305
KRIT1,289
SERPING1,289
STXBP1,283
VPS13A,283
ASPM,280
WRN,278
OPA1,275
PRPH2,274
MMUT,272
PKP2,269
SLC12A3,267
CHM,264
RP1,263
DEPDC5,262
MUTYH,262
PCDH15,262
SPTB,261
SLC2A1,259
VWF,258
COL5A1,255
GLDC,255
ABCC8,252
CHD2,251
LOXHD1,251
SMAD4,247
BTK,245
AR,243
GNPTAB,243
NF2,242
PDHA1,242
RAD51C,242
PCNT,238
DDX3X,233
ANK1,231
BMPR1A,230
POLG,229
IDUA,227
AGXT,226
PEX1,226
SYNE1,222
ARSA,221
BEST1,221
SDHA,220
NOTCH3,219
OTOF,219
GALC,217
NPHS1,217
SDHB,217
CPLANE1,216
CC2D2A,213
CLCN1,213
FLNA,213
GCDH,212
RASA1,210
SMPD1,208
HNF1A,207
RPGRIP1L,207
ACADM,206
EHMT1,205
EVC2,205
ZFYVE26,204
ERCC6,202
HGD,202
SMARCA4,202
CASR,200
FLG,199
RS1,199
DYRK1A,198
FRAS1,197
RMRP,196
UBE3A,196
ALPK3,194
FOXG1,194
TYR,194
F9,193
NEXMIF,193
CTNNA1,192
HEXA,192
OCA2,192
GLB1,191
AHI1,190
CTNNB1,190
MED13L,188
MTM1,188
RPE65,188
EDA,187
TCF4,187
HNF1B,185
NAGLU,185
FANCC,184
ABCB11,183
MYH7,183
PRPF31,183
SETD5,183
EXT2,182
SLC22A5,180
GALT,179
COL6A2,178
GALNS,178
CNGB3,175
TGM1,175
GJB1,174
DMPK,173
ACADVL,169
EVC,169
LAMB3,169
MAN2B1,169
ABCC6,168
EP300,168
ETFDH,168
APOB,167
BBS10,167
CHRNE,167
ZNF469,167
AXIN2,166
CYBB,166
GJB2,165
GNAS,165
PYGM,165
TCOF1,165
LYST,164
SCN8A,164
COL4A1,163
GATA2,163
GRIN2A,161
GUCY2D,159
PEX6,159
IQSEC2,158
RAD51D,158
CPS1,157
DUOX2,157
EPG5,157
FANCM,155
ITGA2B,155
TCIRG1,155
BTD,154
PCCA,154
NBAS,153
POT1,152
TG,152
WFS1,152
FANCD2,151
PCCB,151
TBX5,151
ELP1,149
WAS,149
TMEM67,148
FANCI,147
RTEL1,147
WDR45,147
CPT2,146
CYP27A1,146
ARSB,145
ASXL3,144
CBS,144
DHCR7,144
DST,144
PURA,144
SOX10,144
HMBS,143
GRIN2B,142
MPZ,142
SMC1A,142
TET2,142
ABCC2,141
PTPN11,141
CHD8,140
ADAMTSL4,139
ELN,139
ATP7A,138
GLI3,138
XPC,138
GPHN,137
TPP1,137
BBS1,136
COL6A1,136
FGFR1,136
SLC26A2,136
UNC13D,136
ACTA1,135
COL6A3,135
ERCC2,135
FKRP,135
LRP5,135
SHANK3,135
CCDC39,134
CNGA3,134
EYA1,134
PAFAH1B1,134
RHO,134
SATB2,134
SMAD3,134
SZT2,134
ACAT1,133
SGCE,133
AHDC1,132
BBS2,132
FOXL2,132
AIRE,131
KIF11,131
L1CAM,131
LAMA3,131
ACAN,130
CFH,130
